,Star_name,Distance,Mass,Radius,Gravity
143,2MASS J05012406-0010452 [de],64,0.020046348,0.14181294,27322482360446.92
144,2MASS J05160945-0445499 [de],73,0.044865636,0.09968011,123769438791635.7
145,2MASS J0523−1403,40,0.064911984,0.10379063,165167729013121.44
146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,148165168673535.38
147,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,34896256329986.824
148,2MASS J06085283-2753583,102,0.036274344,0.15517213,41294169334154.81
149,2MASS J06244595-4521548 [de],39,0.053456928,0.10173537,141571772695942.84
150,2MASS J06411840-4322329 [de],65,0.063957396,0.10379063,162738791821752.0
151,DENIS-P J0652197-253450 [de],51,0.0715941,0.10790115,168555022375235.2
152,2MASS J07075327-4900503,60,0.068730336,0.10584589,168157824188848.12
153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,67078019108511.95
154,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659722,114970701658617.34
155,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659722,103754047838264.42
156,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659722,120579028568793.81
157,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589,165822298852891.9
158,2MASS J07522390+1612157,60,0.001918722,6.987884,1077053537.5425763
159,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,123383192023882.05
160,2MASS J08251968+2115521 [de],35,0.049638576,0.10070774,134156038217023.9
161,SDSSp J083008.12+482847.4 [de],43,0.045820224,0.10173537,121347233739379.6
162,LHS 2021,55,0.084003744,0.11817745,164871664986468.28
163,SDSS J083048.80+012831.1 [de],77,0.043911048,0.09865248,123672858214121.16
164,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,153621047392789.4
165,2MASSI J0847287-153237 [de],43,0.061093632,0.102763,158576565050621.3
166,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,166641130078197.84
167,2MASSI J0859254-194926 [de],50,0.0477294,0.10070774,128996190593292.22
168,2MASSI J0937347+293142,20,0.040092696,0.09659722,117774865113705.56
169,2MASS 0939−2448,17.4,0.030546816,0.09762485,87854052659623.98
170,2MASS J09490860-1545485 [de],59,0.046774812,0.09865248,131738479401998.62
171,2MASS J10073369-4555147,46,0.042001872,0.09659722,123383192023882.05
172,2MASSI J1010148-040649 [de],55,0.048683988,0.10070774,131576114405158.08
173,2MASS J10224821+5825453 [de],60,0.025773876,0.14489583,33649961461058.73
174,2MASSW J1036530-344138 [de],53,0.046774812,0.09968011,129036223421067.02
175,2MASS J1047538+212423 [de],34.4,0.040092696,0.09659722,117774865113705.56
176,DEN 1048-3956,13.15,0.073503276,0.10995641,166641130078197.84
177,Luhman 16B,6.516,0.041047284,0.10481826,102406410653004.81
178,Luhman 16A,6.516,0.03818352,0.10379063,97157487654777.31
179,DENIS-P J1058.7−1548,49,0.061093632,0.102763,158576565050621.3
180,TWA 28,180,0.034365168,0.24560357,15615853686205.508
181,Cha 110913-773444,163,0.007636704,0.1849734,6117923034360.388
182,SDSS J111010.01+011613.1,63,0.008591292,0.12742612,14503010835226.078
183,2MASS J11145133−2618235,18.2,0.031501404,0.09865248,88721833066652.11
184,TWA 26,137,0.02863764,0.2260786,15358009270140.236
185,2MASS J11544223-3400390 [de],129,0.035319756,0.1541445,40745367408840.2
186,2MASSW J1155395-372735 [de],31,0.061093632,0.102763,158576565050621.3
187,2MASS J12074836-3900043,217,0.016227996,0.17572473,14405081936859.645
188,2MASSI J1217110-031113 [de],36,0.040092696,0.09659722,117774865113705.56
189,2M 1237+6526,45.6,0.039138108,0.09659722,114970701658617.34
190,TWA 29,262,0.001909176,2.569075,7928828252.531061
191,SDSSp J125453.90-012247.4 [de],38,0.044865636,0.10070774,121256419157694.69
192,Kelu-1A,61,0.060139044,0.10070774,162535200147548.2
193,Kelu-1B,61,0.055366104,0.10070774,149635581088218.97
194,2MASS J13204427+0409045,101,0.063957396,0.10379063,162738791821752.0
195,SDSSp J132629.82-003831.5 [de],65,0.048683988,0.09968011,134303008050498.31
196,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659722,123383192023882.05
197,2MASS J13595510-4034582,51,0.060139044,0.102763,156098806221705.38
198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248,86033292670692.97
199,SDSS J141659.78+500626.4 [de],149,0.056320692,0.10173537,149155974804654.1
200,DENIS-P J142527.97-365023.4 [de],38,0.020046348,0.13564716,29862795803050.453
201,LHS 2924,38.5,0.072548688,0.10892878,167594936808128.1
202,2MASS J14392837+1929150,47,0.068730336,0.10584589,168157824188848.12
203,LSPM J1440+1339,72,0.087822096,0.12228797,160972962545207.3
204,2MASS J14482563+1031590 [de],47,0.056320692,0.10173537,149155974804654.1
205,CFBDSIR 1458+10A,104,0.010595927,0.1541445,12223610453374.875
206,CFBDSIR 1458+10B,104,0.008591292,0.1335919,13195165361090.895
207,TVLM 513-46546,35.1,0.0715941,0.10790115,168555022375235.2
208,2MASS 1503+2525,20.7,0.042001872,0.09659722,123383192023882.05
209,CFBDS J150411+102717,71,0.042001872,0.09659722,123383192023882.05
210,2MASSW J1506544+132106 [de],46,0.065866572,0.10481826,164326565931565.8
211,2MASS 1507−1627,23.9,0.05727528,0.10173537,151684042174224.5
212,TVLM 868-110639,53,0.075412452,0.11098404,167818027678635.66
213,2MASSW J1515008+484742 [de],34,0.054411516,0.10173537,144099840065513.28
214,2MASSI J1526140+204341 [de],67,0.051547752,0.10070774,139315885840755.62
215,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763,156098806221705.38
216,2MASS J15462718-3325111 [de],37,0.042001872,0.09659722,123383192023882.05
217,2MASSW J1552591+294849 [de],68,0.02863764,0.14695109,36350317799148.47
218,2MASSW J1555157-095605 [de],44,0.067775748,0.10584589,165822298852891.9
219,2MASS J16150413+1340079 [de],48,0.040092696,0.09659722,117774865113705.56
220,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.09659722,120579028568793.81
221,2MASS J16262034+3925190 [de],110,0.067775748,0.10584589,165822298852891.9
222,2MASSW J1632291+190441 [de],50,0.046774812,0.09968011,129036223421067.02
223,WISEPA J164715.59+563208.2,28,0.039138108,0.09659722,114970701658617.34
224,LSPM J1658+7027 [de],60,0.069684924,0.10687352,167230394333270.1
225,2MASSI J1726000+153819,114,0.022910112,0.1438682,30339904027542.34
226,SDSSp J175032.96+175903.9,90,0.044865636,0.09968011,123769438791635.7
227,2MASS J18283572-4849046,39,0.04295646,0.09762485,123544761552596.25
228,LSR J1835+3259,18.5,0.073503276,0.10995641,166641130078197.84
229,2MASSW J1841086+311727,138,0.063957396,0.10379063,162738791821752.0
230,2MASS J18432213+4040209,46,0.091640448,0.12537086,159812447981679.6
231,2MASS J20004841-7523070,105,0.0238647,0.19319444,17526021594301.424
232,SDSS J204749.61-071818.3,65,0.043911048,0.09865248,123672858214121.16
233,2MASSI J2057540-025230,47,0.06682116,0.10481826,166708110365356.7
234,2MASSI J2104149-103736,62,0.065866572,0.10481826,164326565931565.8
235,PSO J318.5−22,80,0.006204822,0.15722739,6880017253173.448
236,HB 2124-4228,113,0.089731272,0.12434323,159080206214124.75
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,123672858214121.16
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,139043705326372.47
239,2MASSW J2206450-421721,93,0.021000936,0.13667479,30816153675250.766
240,2MASSW J2208136+292121,154,0.025773876,0.14489583,33649961461058.73
241,2MASSW J2224438-015852,38,0.058229868,0.10173537,154212109543794.88
242,2MASS J22282889-4310262,35,0.040092696,0.09659722,117774865113705.56
243,2MASS J22373255+3922398,64,0.069684924,0.10687352,167230394333270.1
244,2MASSW J2244316+204343,56,0.011455056,0.13256427,17867379332366.734
245,2MASS J23224684-3133231,56,0.022910112,0.14284057,30778019716361.98
246,2MASS J23225299-6151275,148,0.016227996,0.16339317,16661484945837.303
247,2MASS J23515044-2537367,67,0.084003744,0.11920508,162041302723397.97
248,2MASSI J2356547-155310,74,0.07636704,0.11201167,166838402755051.47
249,WISE 0410+1502,20,0.005727528,0.12023271,10860218404190.04
250,WISE 0458+6434A,35.9,0.01431882,0.4316046,2106937779690.4397
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,1715899466008.2812
252,WISE 1405+5534,25.3,0.02863764,0.08837618,24.45640446018866
